English,Japanese
spectrometer,分光計
spectrometric,a〉分光計の、分光術の
spectrometry,分光測定(法)、分光術
spectrophotofluorometer,分光蛍光光度計
spectrophotometer,分光光度計
spectropolarimeter,分光旋光計
spectroscope,分光器
spectroscopic,a〉分光の、分光法による
spectroscopy,分光学、分光法
spectrum,《理化》スペクトル、分光
speed,速度
sperm,精子
spermatic,a〉1_精子の 2_輸精の 3_輸精管の
spermatid,精子、精子細胞
spermatitis,精管炎、精索炎
spermatoblast,精芽細胞
spermatocele,精液瘤
spermatocyst,1_精嚢 2_精液瘤
spermatocystitis,精嚢炎
spermatocyte,精母細胞
spermatogenesis,精子形成
spermatogenic,a〉精子形成の
spermatogonium,精祖細胞
spermatology,精液学
spermatolysis,精子溶解
spermatopathia,精液病、精子病
spermatophyte,種子植物
spermatozoon,精子、精虫
spermaturia,精液尿(症)
spermectomy,精索切除(術)
spermiogenesis,精子完成、精子変態、精子形成
spermolith,精管結石
spermoloropexis,精索固定(術)
spermoneuralgia,精索神経痛
spermophlebectasia,精索静脈瘤
sphenofrontal,a〉蝶前頭の
sphenoid,a〉蝶形の n〉《解》蝶形骨
sphenoidal,a〉蝶形の
sphenomandibular,a〉蝶下顎の
sphenomaxillary,a〉蝶上顎の
sphenopalatine,a〉蝶口蓋の
sphenoparietal,a〉蝶頭頂の
sphenosquamosal,a〉蝶鱗の
sphenozygomatic,a〉蝶頬骨の
spherical,a〉球の、球体の、球状の
spherocyte,球状赤血球
spherocytosis,球状赤血球症
spheroidal,a〉球状の
spheroma,球状腫
spherometer,球面計
spherule,小球
spherulite,球晶
sphincter,括約筋
sphincteral,a〉括約筋の
sphincteric,a〉括約筋の
sphincteritis,括約筋炎
sphincterotomy,括約筋切開(術)
sphingolipidosis,スフィゴリピドシス、スフィゴリピド症、スフィゴ脂質症
sphingomyelin,スフィンゴミエリン
sphingomyelinosis,スフィンゴミエリン症
sphygmic,a〉脈波の
sphygmodynamometer,脈圧計
sphygmogram,脈波図
sphygmograph,脈波計
sphygmographic,a〉脈波記録(法)の
sphygmography,脈波記録(法)
sphygmoid,a〉脈波様の
sphygmomanometer,血圧計、脈圧計
sphygmomanometry,血圧測定
sphygmometer,脈拍計
sphygmometeric,a〉脈拍計の、脈拍計による
sphygmophone,脈音器
sphygmoscope,脈拍記録計
sphygmotonometer,動脈壁弾力計
sphygmus,脈拍 [L]
sphyrectomy,槌骨切除(術) つち
sphyrotomy,槌骨切開(術) つち
spicule,針状骨、骨片、スピクラ
spider,〔昆虫〕クモ
spike,スパイク
spike like,a〉拍車状の
spina,《解》1_棘 2_脊椎、脊柱
spinal,a〉脊髄の、脊椎の、脊柱の
spinalgia,脊髄痛
spindle,1_紡錘 2_(有糸分裂の)紡錐体 3_(脳波の)紡錐
spindle shaped,a〉紡錘形の
spine,《解》1_棘 2_脊椎、脊柱
spinobulbar,a〉脊髄延髄の
spinocerebellar,a〉脊髄小脳の
spinothalamic,a〉脊髄視床の
spinous,a〉棘の、棘状の、有棘の
spiradema,汗腺腫
spirillosis,らせん菌[感染]症
spirillum,〔菌〕スピリウム属 〈らせん菌鼠咬症など〉
spirit,精神
spirochetemia,スピロヘータ血症
spirogram,呼吸曲線、肺容量曲線、スパイログラム
spirograph,呼吸機能記録器
spirography,呼吸機能記録(法)
spirometer,肺活量計
spirometry,肺活量測定(法)
splanchnic,a〉内臓の
splanchnicectomy,内臓神経切除(術)
splanchnocele,内臓ヘルニア
splanchnocoele,内臓腔
splanchnodiastasis,内臓分離、内臓転位
splanchnolith,内臓結石
splanchnology,内臓学
splanchnomegaly,内臓巨大症
splanchnopathy,内臓疾患、内臓障害
splayfoot,開張足
spleen,《解》脾、脾臓
splen,《解》脾、脾臓 [L]
splenalgia,脾臓痛
splenectasis,脾腫大
splenial,a〉板状筋の
splenic,a〉脾臓の
splenitis,脾炎
splenius,《解》板状筋
splenocyte,脾細胞
splenodynia,脾臓痛
splenography,脾造影(法)
splenomalacia,脾軟化(症)
splenomegaly,脾腫大、巨脾症
splenoptosis,脾下垂(症)
splenorrhagia,脾出血
splenosis,脾症
splenotomy,脾切開(術)
splint,副子
spluttery,a〉泡沫の
spondylalgia,脊椎痛
spondylarthritis,脊椎関節炎、脊椎炎
spondylarthrosis,脊椎関節症
spondylectomy,脊椎切除(術)
spondylitic,a〉脊椎炎の
spondylitis,脊椎炎
spondylizema,脊椎陥没(症)
spondyloarthropathy,脊椎関節症
spondylarthropathy,脊椎関節症
spondylocace,脊椎結核、脊椎カリエス
spondylodynia,脊椎痛
spondyloepimetaphyseal,a〉脊椎骨端骨幹端の
spondyloepiphyseal,a〉脊椎骨端の
spondylolisthesis,脊椎すべり症
spondylolysis,脊椎分離(症)
spondylomalacia,脊椎軟化(症)
spondylometaphyseal,a〉脊椎骨幹端の
spondylomyelitis,脊椎脊髄炎
spondylopathy,脊椎症
spondyloptosis,脊椎下垂(症)
spondylopyosis,脊椎化膿(症)
spondyloschisis,脊椎[披]裂、二分脊椎(症)
spondylosis,脊椎症、脊椎強直
spondylosyndesis,脊椎癒着
spondylotic,a〉脊椎症(性)の
spondylotomy,脊椎骨切り(術)
spondylous,a〉脊椎の、脊柱の
sponge,海綿
spongiosum,海綿状の
spongy,a〉海綿状の
spontaneity,自発性
spontaneous,a〉自発の
sporadic,a〉散在性の、散発性の
spore,胞子
spore forming,a〉胞子形成の
sporicide,殺胞子剤
sporogenous,a〉胞子産生の、胞子による増殖の
sporotrichosis,スポロトリコーシス、スポロトリクム症
sporozoite,種虫、スポロゾイト
sporozoan,a〉胞子虫類の n〉胞子虫
sporozoon,胞子虫
spot,斑
spouse,配偶者
sprayer,噴霧器
spraying,a〉噴霧の
springing,a〉跳躍(性)の
sprue,(歯) 湯道、スプルー
sputum,痰
squama,《解》鱗 [L]
squamosal,#NAME?
squamous,a〉1_鱗状の 2_(上皮が)扁平の
squint,斜視
stability,安定性
stable,a〉安定の
stage,期、時期 病期
stagnation,《歯》停滞、貯留
stalagmometer,滴数計
staling,《生物》減衰成長
stalked,a〉有柄の
standard,標準
standardized,a〉標準化した
standing,a〉直立の
stannic,a〉第二錫の、第二スズの、錫(IV)の、スズ(IV)の
stannous,a〉第一錫の、第一スズの、錫(II)の、スズ(II)の
stapedectomy,アブミ骨摘出(術) 鐙骨
stapedial,a〉アブミ骨の
stapedius,アブミ骨筋=鐙骨筋=
stapes,《解》アブミ骨=鐙骨=
staphylitis,口蓋垂炎
staphylococcal,a〉黄色ブドウ球菌(性)の
staphylococcemia,葡萄球菌血症、ブドウ球菌血症
staphylococcus,葡萄球菌、ブドウ球菌
staphyloma,葡萄腫、葡萄膜腫
staphyloptosis,口蓋垂下垂(症)
staphylorrhaphy,軟口蓋縫合術
starch,澱粉
starchy,a〉澱粉の
starvation,飢餓
stasi basophobia,起立歩行恐怖(症)
stasis,停滞
state,状態
static,a〉静止(性)の
stationary,a〉定常の
statistic(al),a〉統計の
statistics,統計学
statoconium,《解》平衡砂
statocyst,平衡胞、平衡嚢
statokinetic,a〉平衡運動の
statometer,眼突出計
statosphere,中心球
staxis,出血
steam,蒸気
steatitis,脂肪組織炎
steatocele,脂肪瘤
steatogenesis,脂肪生成、脂肪産生
steatohepatitis,脂肪性肝炎
steatopygia,殿部脂肪過多(症)、殿部脂肪蓄積
steatopygous,a〉殿部脂肪過多(症)、殿部脂肪蓄積
steatolysis,脂肪融解
steatonecrosis,脂肪壊死
steatorrhea,1_皮脂漏 2_脂肪便 漏=ろう
steatosis,1_脂肪症 2_皮脂分泌異常
stegma,恥垢
stellate,a〉星形の、星状の
stelliform,a〉星形の、星状の
stem,幹
stenoinsufficiency,狭窄不全、閉鎖不全
stenophobia,狭所恐怖(症)
stenosis,狭窄(症)
stenotic,a〉狭窄(症)の
step,ステップ
stepped,a〉段階的な
stercolith,糞石、腸石、腸結石
stercoraceous,a〉糞の、糞便[状]の
stercoral,a〉糞の、糞便[状]の
stereoagnosis,立体認知不能
stereocampimeter,立体視野計
stereochemistry,立体化学
stereoencephalometry,立体脳測定法
stereognosis,立体認知
stereognostic,a〉立体認知の
stereograph,立体描写器
stereoisomer,立体異性体
stereoisomerism,立体異性
stereomicroscope,実体顕微鏡
stereoselectivity,立体選択性
stereospecificity,立体特異性
stereotaxic,a〉定位の
stereotype,紋切り型
stereotyped,a〉常同の
stereotypy,常同症
steric,a〉立体化学の
sterile,a〉1_不妊(症)の 2_無菌(性)の
sterility,1_不妊(症) 2_滅菌、無菌(性)
sterilization,1_滅菌(法) 2_不妊手術、不妊(法)
sterilizer,消毒器、滅菌器
sternal,a〉胸骨の
sternalgia,胸骨痛
sternoclavicular,a〉胸鎖の
sternocleidal,a〉胸骨鎖骨の
sternocleidomastoid,a〉胸鎖乳突の
sternocostal,a〉胸肋の、胸骨肋骨の
sternohyoid,a〉胸骨舌骨の
sternopericardial,a〉胸骨心膜の
sternothyroid,a〉胸骨甲状の
sternotomy,胸骨切開(術)
sternum,《解》胸骨
steroid,ステロイド
steroidogenic,a〉ステロイド産生の、ステロイド生成の
stertorous,a〉狭窄音の
stethalgia,胸痛
stethogoniometer,胸部彎曲計
stethometer,胸部測定器
stethoscope,聴診器
stethoscopic,a〉聴診器の、聴診法の、聴診による
stillbirth,死産
stimulant,刺激薬、興奮薬、覚醒剤
stimulation,刺激をあたえること
stimulatory,a〉刺激(性)の
stimulus,刺激
stimulus conducting,a〉刺激伝導の
stitch,縫合(術)、縫合法
stoichiometry,化学量論
stoma,〔植〕気孔
stomach,胃
stomachache,胃痛
stomatitis,口内炎
stomatognathic,a〉顎口腔の
stomatologic(al),a〉口腔科学の、口腔科学的な
stomatology,《歯》口腔科学
stomatomycosis,《歯》口腔真菌症
stone,結石
stool,糞便
storage,貯蔵、蓄積
storiform,a〉花むしろ様の
strabism,斜視
strabismus,斜視
strabometer,〔眼〕斜視測定計、斜視計
strabismometer,〔眼〕斜視測定計、斜視計
straight,a〉真っ直ぐな
strangulation,1_絞殺 2_絞扼(症) こうやく
strategy,戦略
stratified,a〉1_(上皮の)重層の 2_層別の
strength,強さ、強度
streptococcaceae,〔菌〕連鎖球菌科、ストレプトコッカス科
streptococcal,a〉連鎖球菌(性)の
streptococcemia,連鎖球菌血(症)
streptococcic,a〉連鎖球菌(性)の
streptococcosis,連鎖球菌症
streptococcus,1_[Cap] 連鎖球菌属 2_[pl] 連鎖球菌
streptozotocin,ストレプトゾトシン
stress,応力、ストレス
stressor,ストレッサー
stretch,1_伸展 2_緊張 3_広がり、連続 4_範囲、限界
stretcher,ストレッチャー、担架
striatal,a〉線条体の
striated,a〉1_(平行に走る)線･すじ･溝のある 2_横紋筋の
striatum,線条体
stricture,1_狭窄(症) 2_収縮
stroma,《解》支質
stromal,a〉間質(性)の
structural,a〉構造の、構造的な
structure,構造
struma,甲状腺腫
study,1_学習 2_研究、調査 3_書斎
stupor,昏迷･昏迷状態、昏睡、人事不省
stuporous,a〉昏迷の･昏迷状態の、昏睡の、人事不省の
styloglossal,a〉茎突舌の
styloglossus,《解》茎突舌筋
stylohyoid,a〉茎突舌骨の
stylohyoideus,《解》茎突舌骨筋
styloid,a〉茎状の
stylomandibular,a〉茎突下顎の
stylomastoid,a〉茎乳突の
stylomaxillary,a〉茎突上顎の
stylopharyngeus,《解》茎突咽頭筋
subacidity,酸減少症
subacromial,a〉肩峰下の
subacute,a〉亜急性の
subalimantation,低栄養
subarachnoid,a〉蜘蛛膜下の、クモ膜下の
subarcuate,a〉弓下の
subareolar,a〉乳輪下の
subaural,a〉耳下の
subauricular,a〉耳介下の
subcallosal,a〉梁下の
subcapital,a〉骨頭下の
subcapsular,a〉被膜下の
subcecal,a〉盲腸下の
subcellular,a〉細胞レベル下の、亜細胞の
subchondral,a〉軟骨下の
subchoroidal,a〉脈絡膜下の
subcilial,a〉睫毛下の
subclass,亜綱
subclavian,a〉鎖骨下の
subclavicular,a〉鎖骨下の
subclinical,a〉亜臨床的な、無症状の、潜在性の
subcollateral,a〉側副下の
subcondylar,a〉顆頭下の
subcortical,a〉皮質下の
subcostal,a〉肋下の
subcranial,a〉頭蓋下の
subcutaneous,a〉皮下の
subcuticular,a〉表皮下の
subdermal,a〉皮下の
subdominant,a〉〔植〕亜優占の
subdural,a〉硬膜下の
subendocardial,a〉心内膜下の
subendocardium,心内膜下組織、心内膜下層、心内膜下心筋
subendymal,a〉上衣下の
subependymal,a〉上衣下の
subependymoma,上衣下腫
subepidermal,a〉表皮下
subepithelial,a〉上皮下の、上皮直下の
subfamily,亜科
subfascial,a〉筋膜下の
subgenual,a〉膝下の
subgenus,亜属
subgingival,a〉歯肉縁下の
subglenoid,a〉関節窩下の
subglossal,a〉舌下の
subglottal,a〉声門下の
subglottic,a〉声門下の
subgroup,亜群
subgrouping,亜群化
subhepatic,a〉肝下の、肝臓下の
subiculum,《解》海馬台、海馬支脚
subileus,亜イレウス、部分腸閉塞、スブイレウス
subiliac,a〉腸骨下部の
subinfection,亜感染症
subintimal,a〉内膜下の
subject,1_題目、題名 2_科目、学科 3_被検者、被験者
subjective,a〉主観的な; (症状が)自覚の
sublemmal,a〉膜下の
sublimation,昇華
sublimatum,昇汞
subliminal,a〉閾下の、閾値下の、限界下の
sublingual,a〉舌下の
sublobular,a〉小葉下の
sublumbar,a〉腰下(部)の
subluxation,亜脱臼、不完全脱臼
submammary,a〉乳腺下の
submandibular,a〉顎下の
submarginal,a〉辺縁下の
submarine,a〉海底の
submaximal,a〉最大下の
submeningeal,a〉髄膜下の
submental,a〉オトガイ下の
submerged,a〉1_沈下の 2_《歯》低位の
submersion,沈下
submucosa,粘膜下層
submucosal,a〉粘膜下の
submucous,a〉粘膜下の
subnutrition,低栄養
suboccipital,a〉後頭下の
subocclusal,a〉咬合面下の
subodontoblastic,a〉象牙芽細胞下の
suboptimal,a〉最適値以下の
suboptimum,a〉最適下限の
suborbital,a〉眼窩下(部)の
suborder,亜目
suboxide,亜酸化物
subperiosteal,a〉骨膜下の
subperitoneal,a〉腹膜下の
subphrenic,a〉横隔[膜]下の
subpopliteal,a〉膝窩筋下の
subpopulation,亜母集団
subpubic,a〉恥骨下の
subpulmonary,a〉肺下の
subpulpal,a〉歯髄下の、髄下の
subrenal,a〉腎臓下の
subretinal,a〉網膜下の
subscapular,a〉肩甲下の
subserosal,a〉漿膜下の、漿膜下組織の
subset,細胞亜集団、サブセット
subspecies,亜種
substance,物質
substantia,《解》質
substantiation,証拠固め、実証; 具体化; 緊密化
substernal,a〉胸骨下の
substitute,代替品、代用品
substitution,置換
substrain,亜種、亜系
substrate,基質
subsynaptic,a〉シナプス下の
subsyndromal,a〉亜症候群の
subtendinea,腱下の
subtendinous,a〉腱下の
subthreshold,a〉閾下の
subtrochanteric,a〉転子下の
subtympanic,a〉鼓膜下の
subtype,サブタイプ
suburb,郊外
suburban,a〉郊外の
subxiphoid,a〉剣状突起下の
succinic,a〉コハク酸の
sucrose,蔗糖
suction,吸引(法)
sudaminal,a〉汗疹の あせも
sudden,a〉突発(性)の
sudor,汗、発汗
sudoral,a〉汗の、発汗の
sudoresis,発汗過多(症)、過剰発汗、多汗(症)
sudoriferous,a〉発汗する
sudorific,a〉発汗させる、発汗(性)の n〉発汗薬
sudoriparous,a〉発汗する
sufficient,a〉十分な
suffocation,窒息
suffusion,1_潅水療法 2_皮下溢血
sugar,糖
suggestibility,被暗示性
suggillation,皮下溢血
suicide,自殺
suicidal,自殺
suicidal,a〉自殺の
sulcus,《解》溝
sulfate,硫酸塩
sulfation,硫酸化
sulfide,硫化物
sulfite,亜硫酸塩
sulfonamide,スルホンアミド
sulfur containing,a〉含硫の
sulfuric,a〉硫酸の
summary,抄録、摘要
sun,太陽
sunburn,日焼け
sundial,日時計
sunlight,日光
superciliary,a〉眉毛の、眉の
supercilium,眉毛、眉、まゆげ
superconductivity,超伝導、超電導
superconscious,a〉超意識の
superficial,a〉表在(性)の、表層(性)の、浅在性の
superior,a〉上の、上方の
supermotility,運動過剰
supernatant,上清
supernormal,a〉過常の
supernumerary,a〉過剰の
supernutrition,過栄養、栄養過多
superoxide,過酸化物、超酸化物
superpigmentation,#NAME?
supination,回外
supinator,《解》回外筋
suppine,a〉あおむけになった、上向きの、仰臥の
supporting,a〉支持の
suppression,抑圧
suppressive,a〉1_抑制の 2_鎮静の、鎮痛の
suppressor,抑制子、サプレッサー
suppuration,化膿
suppurative,a〉化膿(性)の
supraaddition,《歯》相乗作用
suprabasal,a〉基底上の
suprabony,a〉骨縁上の
suprachiasmatic,a〉視交叉上の
supraclavicular,a〉鎖骨上の
supracondylar,a〉顆上の
supracostal,a〉肋骨上の
supracrestal,a〉骨縁上の
supracristal,a〉稜上の
supraepicondylar,a〉顆上の
supragingival,a〉歯肉縁上の
supraglottal,a〉声門上の
supraglottic,a〉声門上の
suprahepatic,a〉肝臓上の
suprahyoid,a〉舌骨上の
supralumbar,a〉腰上の
supramammary,a〉乳腺上の
supramarginal,a〉縁上の
suprameatal,a〉道上の
suprameatum,道上の
supranasal,a〉鼻上の
supranuclear,a〉核上の
supraoptic,a〉視索上の
supraoptimal,a〉最適上の
supraorbital,a〉眼窩上の
supraorbitalis,眼窩上の [Ｌ属格]
suprapatellar,a〉膝蓋上の
suprapelvic,a〉骨盤上の
suprapubic,a〉恥骨上の、陰部上の
suprapyloric,a〉幽門上の
suprarenal,a〉副腎の
suprascapular,a〉肩甲上の
suprascleral,a〉強膜上の
supraspinal,a〉脊柱上の
supraspinatus,《解》棘上筋
supraspinous,a〉棘上の
suprasternal,a〉胸骨上の
suprastyloid,a〉茎突上の
supratemporal,a〉側頭骨上の
supratentorial,a〉小脳テント上の、テント上の
suprathreshold,a〉閾上の
supratonsillar,a〉扁桃上の
supratragic,a〉珠上の
supratrochlear,a〉滑車上の
supratympanic,a〉鼓室上の
supravaginal,a〉膣上の
supravalvular,a〉弁上の
supraventricular,a〉上室(性)の、室上の、心室上方(性)の
supraxiphoid,a〉剣状突起上の
sura,《解》腓腹
surface,表面
surfactant,界面活性剤、界面活性物質
surgeon,外科医
surgery,外科
surgical,a〉外科の、外科的な、外科用の、手術の
survey,調査
survival,生存
susceptibility,感受性
susceptible,a〉(〜を)受けやすい、(〜に)影響されやすい、感染しやすい; 感じやすい、敏感な、多感な; (〜が)できる･可能な
suspension,1_浮遊、浮遊状態 2_浮遊液、浮遊物 3_《理化》懸濁 4_懸濁液
suspensory,a〉懸吊の、提挙する
sutural,a〉縫合の
suture,1_《解》縫合 2_(外科の)縫合、縫合術、縫合法 3_(外科の)縫合糸、縫合線、縫合材
swaged,a〉圧印の
swallowing,嚥下
sweat,1_汗 2_発汗、発汗状態
sweating,発汗
sweetener,甘味料
swelling,a〉腫大(性)の n〉腫大、腫脹
swimmer,水泳者
sycosis,毛瘡
symbiosis,共生
symbiotic,a〉共生の
symblepharon,眼瞼癒着
symbol,1_象徴 2_記号
symmelia,合肢症、人魚体症、下肢癒着症
symmelus,合肢体、人魚体、下肢癒着体
symmetric(al),a〉対称(性)の
symmetry,対称
sympathectomy,交感神経切除(術)
sympathetic,a〉交感神経の
sympathicotonia,交感神経活動亢進
sympatholytic,a〉交感神経遮断(性)の n〉交感神経遮断薬
sympathomimetic,a〉交感神経作用(性)の
symphysis,《解》結合
symptom,症状
symptom free,a〉症状のない、無症状の
symptomatic,a〉症状の
symptomless,a〉無症状の、症状のない
sympus,合足体、合脚体
synalgia,遠隔痛
synanthema,混合皮疹
synapse,シナプス
synapsis,対合、シナプシス
synaptic,a〉シナプスの
synaptogenesis,シナプス形成
synarthrosis,《解》不動関節
syncanthus,眼角眼球癒着
syncephalalus,頭部結合体
synchondrosis,《解》軟骨結合
synchronization,同期化
synchrony,同期性、同時性、同調性
synchronism,同期性、同時性、同調性
syncopal,a〉気絶の、失神の
syncope,失神
syncytium,合胞体、多核体、シンシチウム
syncytial,合胞体、多核体、シンシチウム
syndactyl,a〉合指症の
syndactylous,a〉合指症の
syndactylization,合指化、合指化手術
syndactyly,合指(症)
syndesis,1_接合 2_対合、シナプシス
syndesmitis,靭帯炎
syndesmosis,《解》靭帯結合
syndrome,症候群
syneresis,シネレシス、離液
synergic,a〉共力作用の、共同作用の、共働の
synergism,共同作用、相乗作用
synergism,共力作用、共同作用、協力作用、相乗作用
synergia,共力作用、共同作用、協力作用、相乗作用
synergy,共力作用、共同作用、協力作用、相乗作用
synergistic,a〉共同作用の、相乗作用の、協同作用の
synergy,共同作用、相乗作用
syngeneic,a〉1_同系の、同種の 2_同遺伝子型の
syngenesis,有性生殖
syngenetic,a〉有性生殖の
syngenic,a〉1_同系の、同種の 2_同遺伝子型の
syngraft,1_同系移植 2_同系移植片
synkaryon,《生物》合核、融合核
synkinesis,共同運動
synnecrosis,共死状態
synophthalmus,合眼体
synoscheos,陰茎陰嚢癒着(症)
synosteology,関節学
synosteotomy,骨癒合剥離(術)
synostosis,1_骨癒合(症) 2_《解》骨結合
synotia,合耳(症)
synovial,a〉滑液の、滑膜(性)の
synovitis,滑膜炎
synthase,シンターゼ、合成酵素
synthesis,合成
synthetase,シンテターゼ、合成酵素
synthetic,a〉合成の
syntropic,a〉並行性の
syphilid,梅毒疹
syphilis,梅毒
syphilitic,a〉梅毒(性)の
syringe,注射器
syringocele,脊髄瘤
syringoma,汗管腫
syringomyelia,脊髄空洞症
syringomyelocele,空洞状脊髄脱出
system,1_系、系統 2_〜器系
systemic,a〉全身(性)の
systole,(心臓の)収縮、収縮期
systolic,a〉収縮期(性)の
tabes,〜癆、消耗
table,食卓、テーブル、〜台; (図表の)表
tache,F. 斑=はん、斑点
tachetic,a〉斑点の
tachogram,1_タコグラム、速度曲線、速度図 2_血流速度図
tachograph,タコグラフ、速度記録器
tachometer,回転速度計
tachyarrhythmia,頻脈性不整脈、頻拍性不整脈
tachycardia,頻脈
tachylalia,速語症、早語症
tachymeter,速度計
tachyphagia,速食症
tachyphrasia,速語症
tachyphylaxis,タキフィラキシー、速成耐性
tachypnea,頻呼吸、多呼吸
tachypneic,a〉頻呼吸の、多呼吸の
tackiness,粘着性
tactile,a〉触覚の
tactometer,触覚計、触覚測定器
taenia,《解》ヒモ
taeniasis,条虫症
taking,《歯》採得
talc,滑石、タルク
talcosis,滑石沈着(症)
talipes,彎足、彎曲足
talipomanus,彎曲手
talocalcaneal,a〉距踵の
tamponade,タンポナーデ
tangential,a〉1_接線の 2_脱線的な
tangibility,触知できること、触知性
tangible,a〉触知できる
tapedum,内面層
target,標的、ターゲット
targetting,標的化
tarsal,a〉1_瞼板の 2_足根、足根骨の
tarsalgia,足根痛
tarsitis,眼瞼炎
tarsoplasty,瞼板形成(術)
tarsorraphy,眼瞼板縫合(術)
tarsotomy,足根切開(術)
tautomerism,互変異性
technical,a〉技術の
technician,技師
technique,技術、〜法
technologist,技術者
tectopontine,a〉視蓋橋の
tectospinal,a〉視蓋脊髄の
tectum,《解》蓋 例「中脳蓋」１例のみ
tegmen,《解》蓋、天蓋、被蓋
tegmental,《解》蓋、天蓋、被蓋
tela,《解》組織
telalgia,投射痛、関連痛
telangiectasia,毛細血管拡張(症)
telangiectasis,毛細血管拡張(症)
telangiectatic,a〉毛細血管拡張性の
telangiitis,毛細血管炎
telangioma,毛細血管腫
telangiosis,毛細血管症
telecanthus,眼角離開
telecytology,遠隔細胞診
telegnosis,遠隔診断法
telegram,電信、電報
telegraph,電信、電報
telemetry,遠隔測定、テレメトリ
telencephalic,a〉終脳の
telencephalon,終脳
teleneuron,〔組織〕神経終末
teleology,目的論
teleorganic,a〉生命に必要な、生気ある
telepathology,遠隔病理診断
telepathy,テレパシー
telephone,電話
teleradiology,遠隔画像診断
telergy,遠隔精神作用
teleroentgentherapy,遠隔Ｘ線照射療法
telescope,望遠鏡
telesurgery,遠隔外科
telesystolic,a〉収縮末期の
teleomitosis,完全有糸分裂
television,テレビ
telomerase,テロメアーゼ
telomere,終末体、テロメア
telophase,終期<細胞周期の>
temperate,a〉節度のある、節制する
temperature,温度
temperature regulatory,a〉温度調節の、体温調節の
temperature sensitive,a〉温度感受性の
temple,《解》側頭
tempora,《解》側頭
temporal,a〉側頭の、側頭骨の
temporary,a〉1_一時の、臨時の、一過性の 2_《歯》暫間の
temporolimbic,a〉側頭辺縁の
temporomandibular,a〉側頭下顎の
temporoparietal,a〉側頭頭頂の
tendency,1_傾向 2_性癖、性向
tenderness,圧痛
tendinitis,腱炎
tendinous,a〉腱の
tendon,腱
tendovaginitis,腱鞘炎
tennist,テニス選手
tenosynovectomy,腱鞘切開(術)
tensin,テンシン
tentacle,1_<[動]>触手 2_<[植]>触毛
tentorial,a〉テントの、天幕の
tentorium,《解》テント、天幕 [L]
teratocarcinoma,奇形癌
teratogenetic,a〉催奇形(性)の、催奇性の
teratogenic,a〉催奇形(性)の、催奇性の
teratogenous,a〉胚子残遺性の
teratology,奇形学
teratoma,奇形腫
term,1_期間、任期 2_用語
terminal,a〉1_終末の、終端の、境界の 2_末端の 3_致命的な疾患が末期の<肺炎･癌など> 4_《理化》(分子鎖の)末端の 5_<[植]>頂生の
termination,1_終結 2_《理化》停止反応
terminological,a〉術語の、用語上の
terminology,術語、専門用語; 術語学
terminus,終末、終点、末端
tertiary,a〉1_第三の、第三位･級･層･段階の 2_〔生化〕三次の
test,試験、検査、テスト
testalgia,精巣痛、睾丸痛
tester,テスター、診断器
testicle,精巣、睾丸
testicular,a〉精巣の、睾丸の
testis,性巣、睾丸
testitis,精巣炎
testosterone,テストステロン
tetanic,a〉破傷風の; 強直(性)の
tetanization,強直誘発
tetanus,破傷風; 強直痙攣
tetany,強直、テタニー
tetrabrachius,四腕奇形児
tetrachloride,四塩化物
tetracoccus,四連球菌
tetracycline,テトラサイクリン
tetrad,四つ組
tetragon,四角形
tetragonal,a〉四角形の
tetrahedral,a〉四面体の
tetrahedron,四面体
tetrahydrate,四水和物
tetralogy,四徴症
tetramazia,二重乳房
tetramer,四量体
tetraplegia,四肢麻痺
tetraploid,a〉四倍性の
tetraploidy,四倍性
tetrapus,四足体
tetrotus,四耳体
tetroxide,四酸化物
thalamencephalon,視床脳
thalamic,a〉視床の
thalamostriate,a〉視床線条体の
thalamotomy,視床切開(術)
thalamus,視床
thalassemia,地中海貧血、サラセミア
thalassophobia,海洋恐怖(症)
thalassotherapy,海治療法、海洋療法
thallophyte,葉状植物
thallospore,葉状体胞子、菌糸性胞子
thallotoxicosis,タリウム中毒(症)
thallus,葉状体
thanatism,霊魂死滅説
thanatography,1_死生論 2_死徴学
thanatoid,a〉死期の、仮死の
thanatology,死亡学、サナトロジー
thanatophobia,死恐怖(症)
thanatophoric,a〉致死(性)の、致命的な
thanatopsis,死観
thecal,a〉1_包膜の 2_卵胞膜の、莢膜の
thelitis,乳頭炎
thelorrhagia,乳頭出血
thenal,a〉母指球の
thenar,a〉手掌の n〉1_手掌 2_母指球
theomania,神狂症
theophobia,神恐怖(症)
theorem,定理
theorist,理論家
theory,理論、学説
therapist,療法士
therapy,療法、治療
thermal,a〉熱の、温度の
thermalgia,灼熱痛
thermesthesia,温度感覚、温覚、温度覚
thermionic,a〉熱イオンの
thermochemistry,熱化学
thermoduric,a〉(微生物の)耐熱性の
thermodynamic,a〉熱力学の、熱力学的な
thermodynamics,熱力学
thermoelectric,a〉熱電流の
thermoesthesiometer,温度感覚計
thermograph,温度記録計、サーモグラフ
thermography,温度記録(法)、サーモグラフィー
thermoinhibitory,a〉体温発生抑制の
thermokeratoplasty,熱角膜形成(術)
thermolabile,a〉熱不安定の、熱に弱い
thermology,熱学、熱科学
thermolysis,熱分解
thermometer,温度計、寒暖計、体温計
thermometric,a〉1_体温計の 2_温度測定の、検温の
thermometry,温度測定、検温
thermonuclear,a〉熱核の
thermophilic,a〉好熱性の、高温好性の
thermoplastic,a〉熱可塑性の
